tdtfile,medfile,rat,date,session,include,licks,totdistractors,distracted,percentdistracted,note,endcol
Kate-170612-073349,!2017-06-12_07h26m.Subject thph1.1,thph1.1,170612,lick1,1,648,0,0,0,,1
Kate-170612-084055,!2017-06-12_08h34m.Subject thph1.2,thph1.2,170612,lick1,1,197,0,0,0,,1
Kate-170612-095042,!2017-06-12_09h41m.Subject thph1.3,thph1.3,170612,lick1,1,662,0,0,0,,1
Kate-170612-110041,!2017-06-12_10h53m.Subject thpe1.4,thph1.4,170612,lick1,1,583,0,0,0,,1
Kate-170612-120738,!2017-06-12_12h01m.Subject thph1.5,thph1.5,170612,lick1,1,200,0,0,0,,1
Kate-170612-131343,!2017-06-12_13h08m.Subject thph1.6,thph1.6,170612,lick1,1,117,0,0,0,,1
Kate-170613-075509,!2017-06-13_07h50m.Subject thph1.1,thph1.1,170613,lick2,1,1076,0,0,0,,1
Kate-170613-090125,!2017-06-13_08h56m.Subject thph1.2,thph1.2,170613,lick2,1,573,0,0,0,,1
Kate-170613-101325,!2017-06-13_10h08m.Subject thph1.3,thph1.3,170613,lick2,1,847,0,0,0,,1
Kate-170613-112411,!2017-06-13_11h19m.Subject thph1.4,thph1.4,170613,lick2,1,1155,0,0,0,,1
Kate-170613-123137,!2017-06-13_12h25m.Subject thph1.5,thph1.5,170613,lick2,1,1150,0,0,0,,1
Kate-170613-133504,!2017-06-13_13h30m.Subject thph1.6,thph1.6,170613,lick2,1,612,0,0,0,,1
Kate-170614-072440,!2017-06-14_07h18m.Subject thph1.1,thph1.1,170614,lick3,1,1156,0,0,0,,1
Kate-170614-082905,!2017-06-14_08h22m.Subject thph1.2,thph1.2,170614,lick3,1,486,0,0,0,,1
Kate-170614-093521,!2017-06-14_09h27m.Subject thph1.3,thph1.3,170614,lick3,1,509,0,0,0,,1
Kate-170614-103855,!2017-06-14_10h33m.Subject thph1.4,thph1.4,170614,lick3,1,51,0,0,0,,1
Kate-170614-114445,!2017-06-14_11h40m.Subject thph1.5,thph1.5,170614,lick3,1,835,0,0,0,,1
Kate-170614-124843,!2017-06-14_12h44m.Subject thph1.6,thph1.6,170614,lick3,1,141,0,0,0,,1
Kate-170615-072238,!2017-06-15_07h17m.Subject thph1.1,thph1.1,170615,lick4,1,1605,0,0,0,,1
Kate-170615-083000,!2017-06-15_08h25m.Subject thph1.2,thph1.2,170615,lick4,1,1400,0,0,0,,1
Kate-170615-093842,!2017-06-15_09h32m.Subject thph1.3,thph1.3,170615,lick4,1,880,0,0,0,,1
Kate-170615-104258,!2017-06-15_10h37m.Subject thph1.4,thph1.4,170615,lick4,1,966,0,0,0,,1
Kate-170615-115126,!2017-06-15_11h46m.Subject thph1.5,thph1.5,170615,lick4,1,1201,0,0,0,,1
Kate-170615-125637,!2017-06-15_12h51m.Subject thph1.6,thph1.6,170615,lick4,1,374,0,0,0,,1
Kate-170616-072307,!2017-06-16_07h16m.Subject thph1.1,thph1.1,170616,lick5,1,2206,0,0,0,,1
Kate-170616-082839,!2017-06-16_08h23m.Subject thph1.2,thph1.2,170616,lick5,1,3451,0,0,0,,1
Kate-170616-093300,!2017-06-16_09h27m.Subject thph1.3,thph1.3,170616,lick5,1,478,0,0,0,,1
Kate-170616-103654,!2017-06-16_10h32m.Subject thph1.4,thph1.4,170616,lick5,1,586,0,0,0,,1
Kate-170616-114231,!2017-06-16_11h37m.Subject thph1.5,thph1.5,170616,lick5,1,800,0,0,0,,1
Kate-170616-124851,!2017-06-16_12h43m.Subject thph1.6,thph1.6,170616,lick5,1,469,0,0,0,,1
Kate-170620-075640,!2017-06-20_07h52m.Subject thph1.1,thph1.1,170620,lick6,1,4146,0,0,0,,1
Kate-170620-090315,!2017-06-20_08h58m.Subject thph1.2,thph1.2,170620,lick6,1,2658,0,0,0,,1
Kate-170620-100720,!2017-06-20_10h01m.Subject thph1.3,thph1.3,170620,lick6,1,1367,0,0,0,,1
Kate-170620-111200,!2017-06-20_11h07m.Subject thph1.4,thph1.4,170620,lick6,1,4569,0,0,0,,1
Kate-170620-121726,!2017-06-20_12h11m.Subject thph1.5,thph1.5,170620,lick6,1,2324,0,0,0,,1
Kate-170620-132217,!2017-06-20_13h17m.Subject thph1.6,thph1.6,170620,lick6,1,875,0,0,0,,1
Kate-170621-075250,!2017-06-21_07h47m.Subject thph1.1,thph1.1,170621,distraction1,1,4158,82,41,50,,1
Kate-170621-090006,!2017-06-21_08h55m.Subject thph1.2,thph1.2,170621,distraction1,1,1856,74,61,82.43243243,,1
Kate-170621-101710,!2017-06-21_10h10m.Subject thph1.3,thph1.3,170621,distraction1,1,53,10,10,100,,1
Kate-170621-112435,!2017-06-21_11h18m.Subject thph1.4,thph1.4,170621,distraction1,1,2156,61,26,42.62295082,,1
Kate-170621-123015,!2017-06-21_12h23m.Subject thph1.5,thph1.5,170621,distraction1,1,1362,92,21,22.82608696,,1
